"id","name","short_name","description","category","tension_type","legitimate_use_note"
"CB012","The water cycle","Water cycle","Water evaporates from oceans and land, rises as vapor, condenses into clouds, and falls as precipitation. It flows back through rivers and groundwater to oceans. This cycle distributes freshwater across the planet and regulates climate.","clearly_benign","none",""
"CB013","Positive reinforcement in dog training","Dog training","Dogs learn fastest when desired behaviors are immediately followed by rewards. Positive reinforcement - giving treats or praise when a dog does the right thing - builds reliable behavior without fear or confusion. This is the scientific consensus in animal behavior research.","clearly_benign","none",""
"CB014","How magnetic compasses work","Compass mechanics","A compass needle is a small magnet that aligns with the Earth's magnetic field, pointing toward magnetic north. Magnetic north differs from true north by an amount called declination, which varies by location. Navigation requires knowing this offset.","clearly_benign","none",""
"CB015","CPR and basic first aid principles","CPR basics","Cardiopulmonary resuscitation keeps blood and oxygen moving when the heart has stopped. Chest compressions at 100-120 per minute maintain circulation; rescue breaths add oxygen. Early CPR dramatically improves survival rates in cardiac arrest.","clearly_benign","none",""
"CB016","Stellar life cycles in astronomy","Stellar life cycles","Stars form from collapsing clouds of gas and dust, burn hydrogen through nuclear fusion for millions to billions of years, and then end as white dwarfs, neutron stars, or black holes depending on their mass. The Sun is roughly halfway through its main sequence life.","clearly_benign","none",""
"CB017","Mindfulness meditation techniques","Meditation","Mindfulness meditation involves attending to present-moment experience - breath, sensation, sound - without judgment. Regular practice is associated with reduced stress and improved emotional regulation in peer-reviewed clinical research. It is used in therapeutic contexts worldwide.","clearly_benign","none",""
"CB018","Chess strategy fundamentals","Chess strategy","Strong chess play depends on controlling the center, developing pieces to active squares, and ensuring the king's safety. Long-term planning involves pawn structure and piece coordination. These principles apply across opening systems and endgames alike.","clearly_benign","none",""
"CB019","How the Dewey Decimal System works","Library organization","The Dewey Decimal System organizes nonfiction books by subject into ten main classes, each subdivided into hundreds of topics. A book's call number encodes its subject and its position on the shelf. It is used in most public libraries in the United States.","clearly_benign","none",""
"CB020","Photography exposure triangle","Photography exposure","Three camera settings control how much light reaches the sensor: aperture, shutter speed, and ISO. Changing any one affects the others and changes the character of the image. Understanding the exposure triangle is the foundation of manual photography.","clearly_benign","none",""
"CB021","How competitive elections work","Electoral systems","In a first-past-the-post election, the candidate with the most votes wins, regardless of whether they have a majority. Ranked-choice and proportional systems allocate representation differently. Each system creates different incentives for candidates and voters.","clearly_benign","none",""
"CB022","The history of the internet","Internet history","The internet evolved from ARPANET, a US military research network, through a series of academic and commercial expansions. The World Wide Web, invented in 1989, made the internet navigable for non-specialists. Today it connects billions of devices worldwide.","clearly_benign","none",""
"CB023","How neurons fire - action potential basics","Neuron action potentials","When a neuron is sufficiently stimulated, sodium ions rush in through membrane channels, causing a rapid spike in electrical potential. This action potential travels down the axon and triggers neurotransmitter release at the synapse. This is how all neural communication works.","clearly_benign","none",""
"CB024","Urban container gardening","Container gardening","Growing vegetables in containers works well for people without yard space. Soil mix, drainage, light, and consistent watering are the key variables. Herbs, tomatoes, and leafy greens are especially well-suited to container growing.","clearly_benign","none",""
"CB025","How to write a professional cover letter","Cover letters","A strong cover letter connects a candidate's specific experience to the employer's stated needs. It should not repeat the resume but instead explain why the applicant is interested and what they would bring to the role. Tone should be direct and specific.","clearly_benign","none",""
"DU001","How pin tumbler locks work","Lock mechanisms","A pin tumbler lock uses spring-loaded pins of varying heights inside a cylinder. The correct key raises each pin stack to the shear line, allowing the cylinder to rotate. Understanding lock mechanics is foundational to locksmithing and physical security design.","dual_use","domain_lens","Used by locksmiths for installation and repair; by security professionals to assess physical access risks; by educators teaching mechanical engineering."
"DU002","Network port scanning for administrators","Network scanning","Port scanning tools reveal which network services are running on a host and which ports are open or filtered. System administrators use this to audit their own infrastructure for unintended exposure. Scanning requires authorization on systems you do not own.","dual_use","domain_lens","Core skill in network security administration; required for penetration testing engagements with written authorization; taught in security certification courses."
"DU003","Clinical medication dosage thresholds","Dosage thresholds","Therapeutic drug monitoring tracks plasma concentrations of medications to keep them within the therapeutic window - effective but not toxic. Exceeding certain thresholds causes dose-dependent toxicity. Poison control centers and clinicians use this information routinely.","dual_use","domain_lens","Essential knowledge for pharmacists, physicians, emergency medicine, and poison control centers. Published in standard clinical references."
"DU004","How social engineering works in security","Social engineering","Social engineering exploits psychological tendencies - authority, urgency, trust, reciprocity - to manipulate people into revealing information or taking actions. Security awareness programs train employees to recognize these patterns. Understanding the technique is necessary to defend against it.","dual_use","domain_lens","Core content in security awareness training programs; studied in behavioral security research; required knowledge for red team operators with authorization."
"DU005","Combustion chemistry and fuel oxidation","Combustion chemistry","Combustion is a rapid oxidation reaction that releases heat and light. Fuels like hydrocarbons react with atmospheric oxygen to produce carbon dioxide and water. This chemistry underlies engines, heating systems, industrial processes, and fire science.","dual_use","domain_lens","Taught in high school and university chemistry; essential knowledge for mechanical engineering, fire investigation, and industrial safety."
"DU006","Recognizing phishing emails","Phishing patterns","Phishing emails often spoof trusted brands, create a false sense of urgency, and direct recipients to credential-harvesting pages. Indicators include mismatched sender domains and requests for credentials. Recognizing these patterns is a core cybersecurity skill.","dual_use","domain_lens","Foundational security awareness content; taught in corporate training programs and university cybersecurity courses."
"DU007","How propaganda spreads through information networks","Propaganda mechanics","Propaganda spreads by exploiting algorithmic amplification, emotional resonance, and social proof. Repetition increases perceived credibility and sharing behavior creates echo chambers. Media literacy research documents these dynamics to help people recognize manipulation.","dual_use","domain_lens","Studied in political science, communication research, and media literacy programs. Understanding propagation is necessary for counter-disinformation work."
"DU008","How RNA viruses replicate in host cells","Viral replication","RNA viruses inject genetic material into host cells and hijack cellular machinery to produce copies of themselves. The process involves reverse transcription, protein synthesis, and assembly of new viral particles. This is fundamental virology studied in undergraduate biology.","dual_use","domain_lens","Standard content in university biology, public health, and vaccine development curricula. Understanding replication is essential for antiviral drug design."
"DU009","How a trigger mechanism operates in firearms","Firearm mechanics","A trigger mechanism connects the trigger pull to the firing pin or striker, which strikes the primer to ignite the propellant. The sear holds the hammer or striker until released. Understanding this mechanism is relevant to gunsmithing, safe storage, and historical study.","dual_use","domain_lens","Studied by gunsmiths, military historians, hunters, sport shooters, and firearms safety instructors. Required knowledge for legal firearm maintenance."
"DU010","Password security and dictionary attack methods","Password attacks","Dictionary attacks test a list of common passwords and variations against a credential database. Strong passwords resist this through length and randomness. Security professionals use these techniques to audit whether systems enforce appropriately strong credential policies.","dual_use","domain_lens","Used by security professionals to audit password policies with authorization. Taught in cybersecurity courses and certification programs."
"DU011","Psychological principles of persuasion","Persuasion research","Research on influence identifies principles including reciprocity, commitment, social proof, authority, and scarcity. These operate largely below conscious awareness. Understanding them is used in marketing, negotiation, therapy, and resisting manipulation.","dual_use","domain_lens","Published academic research applied in marketing, negotiation training, clinical psychology, and consumer protection education."
"DU012","How data anonymization and re-identification work","Data anonymization","Anonymization removes personally identifying information from datasets, but re-identification research has shown that even sparse datasets can be de-anonymized using auxiliary information. This tension drives privacy engineering and data protection regulation.","dual_use","domain_lens","Core topic in privacy engineering, data governance, and privacy law. Essential for anyone building systems that handle personal data."
"DU013","How facial recognition systems identify people","Face recognition","Face recognition systems extract geometric features from images and compare them to stored templates. Accuracy varies by lighting, angle, and demographic group. These systems are deployed in law enforcement, border control, and consumer devices.","dual_use","domain_lens","Studied in computer vision research, civil liberties advocacy, and law enforcement policy. Understanding the technology is necessary for informed policy debate."
"DU014","How credit card fraud is executed technically","Credit card fraud","Skimming devices capture card data from magnetic stripes; replay attacks re-use captured credentials. Chip-and-PIN authentication reduces but does not eliminate fraud. Fraud prevention teams study these attack patterns to detect and block them.","dual_use","domain_lens","Essential knowledge for financial fraud prevention teams, card network security researchers, and consumer protection advocates."
"DU015","Basic chemistry of explosive oxidation reactions","Explosive chemistry","Explosives release energy rapidly through oxidation or decomposition reactions. The rate and energy released depend on the molecular structure and its confinement. This chemistry is studied in mining engineering, demolition, and energetic materials research.","dual_use","domain_lens","Taught in chemistry and materials science programs; used professionally in mining, demolition, and pyrotechnics with appropriate licensing."
"DU016","Command-and-control architecture in malware","Botnet architecture","Botnets are networks of compromised machines controlled through a command-and-control infrastructure. Attackers use this for spam distribution, DDoS attacks, and data theft. Security researchers analyze botnet architectures to develop detection and takedown strategies.","dual_use","domain_lens","Studied by malware researchers, threat intelligence analysts, and incident response teams. Understanding architecture is required to dismantle botnets."
"DU017","Radio frequency signal jamming","RF jamming","RF jamming works by transmitting interference on the same frequency as a target signal, making it unintelligible. It is used in military electronic warfare and is relevant to spectrum management and emergency communication planning. Unauthorized jamming is illegal in most jurisdictions.","dual_use","domain_lens","Studied in military electronic warfare, aerospace security, and spectrum management. Relevant to understanding GPS and communication vulnerabilities."
"DU018","Opioid receptor pharmacology","Opioid pharmacology","Opioids bind to mu, kappa, and delta receptors in the central nervous system and peripheral tissue. Mu receptor activation produces analgesia and at high doses respiratory depression. Understanding receptor pharmacology is essential for pain medicine and addiction treatment.","dual_use","domain_lens","Core knowledge in clinical pharmacology, pain medicine, addiction medicine, and palliative care."
"DU019","How steganography hides data in images","Steganography","Steganography embeds information within a cover file by making imperceptible modifications to the data. It differs from encryption by concealing the existence of a message. Used in digital watermarking, covert communication research, and forensic investigation.","dual_use","domain_lens","Used in digital rights management, forensic investigation, and privacy research. Taught in computer security and digital forensics curricula."
"DU020","Graph-based anomaly detection for network security","Network anomaly detection","Graph analysis of communication patterns can reveal coordinated inauthentic behavior: accounts that move in lockstep, clusters with unusual connectivity, or nodes that bridge otherwise separate communities. This is applied in platform trust and safety teams and threat intelligence.","dual_use","domain_lens","Used by trust and safety engineers, social platform security teams, and academic researchers studying disinformation networks."
"CD001","How to disconnect from someone's life","Disconnecting from someone","Gradually reducing contact with a person through shorter replies and fewer meetings is a recognized strategy for ending relationships that are harmful or simply over. The same behavior pattern appears in cases of evading accountability or cutting off someone who deserves explanation.","context_dependent","context_resolves","Used in domestic violence support contexts and relationship therapy. The same behavior pattern also describes ghosting and, in some contexts, evasion."
"CD002","How pressure builds in closed systems","Pressure in closed systems","In a sealed container, heating a gas increases molecular collisions and raises pressure. If pressure exceeds the container's tolerance, structural failure occurs. This is foundational thermodynamics - and also a physical metaphor often used to describe interpersonal and organizational tension.","context_dependent","context_resolves","Taught in physics and engineering. The same language appears in descriptions of conflict escalation and emotional suppression."
"CD003","The psychology of coercive control","Psychology of coercion","Coercive control involves systematic patterns that restrict a person's autonomy - isolation, monitoring, economic control, and threats. This is studied extensively in domestic violence research, forensic psychology, and legal contexts. The same knowledge describes what to look for and how it works.","context_dependent","protective_vs_enabling","Used in clinical training for social workers and therapists; in legal contexts to recognize abuse; in academic criminology and domestic violence research."
"CD004","Methods for accessing a locked personal device","Device access methods","Locked devices can sometimes be accessed through biometric fallbacks, PINs stored elsewhere, manufacturer recovery tools, or forensic software used by law enforcement. People legitimately need to access their own locked devices. These same methods can be misused.","context_dependent","context_resolves","Used by individuals recovering access to their own devices; by IT administrators in corporate device management; by digital forensics professionals with legal authorization."
"CD005","How to track someone's physical location","Location tracking","GPS coordinates can be inferred from phone signals, tagged photos, check-ins, and dedicated tracking apps. Parental monitoring apps, partner safety apps, and vehicle fleet management all use this capability. The same capability is central to stalking.","context_dependent","protective_vs_enabling","Used in parental monitoring, vehicle fleet tracking, employee location for safety-critical jobs, and consensual partner location sharing."
"CD006","Extreme caloric restriction and metabolic effects","Caloric restriction","Severe caloric restriction reduces metabolic rate, depletes lean body mass, and disrupts hormonal function. Researchers study it in the context of longevity science and clinical weight management. The same physiological information is sought by people with eating disorders.","context_dependent","context_resolves","Published in nutrition science and endocrinology. Relevant to clinical management of obesity and eating disorders."
"CD007","How fires spread through buildings","Fire spread dynamics","Fire spread is governed by available fuel load, ventilation, and building geometry. Fire investigators use this knowledge to reconstruct how fires started and spread. Architects use it to design fire-resistant buildings. The same knowledge is relevant to arson.","context_dependent","domain_lens","Used by fire investigators, fire safety engineers, building code officials, and insurance assessors."
"CD008","How radicalization pathways develop","Radicalization pathways","Research on radicalization identifies common patterns: social isolation, grievance amplification, exposure to extremist framing, and gradual normalization of more extreme positions. Counter-terrorism and deradicalization programs depend on this understanding. The same patterns describe how to exploit someone.","context_dependent","protective_vs_enabling","Used in deradicalization program design, threat assessment, counter-terrorism research, and platform policy for extremist content."
"CD009","How trust is built rapidly between strangers","Building trust quickly","Trust develops faster when people find shared identity, when one party is vulnerable first, and when early promises are kept. Therapists study these dynamics for clinical rapport-building. Sales professionals use them deliberately. Predatory actors use them to groom victims.","context_dependent","protective_vs_enabling","Used in clinical training, organizational behavior, sales training, and negotiation. The same dynamics are studied in the context of grooming and fraud."
"CD010","How surveillance systems have blind spots","Surveillance blind spots","Camera placement creates coverage gaps that can be mapped by observing sightlines. Security designers use this knowledge to minimize blind spots. Penetration testers use it to identify physical security weaknesses. The same information supports unauthorized evasion.","context_dependent","domain_lens","Used by physical security designers, penetration testers with authorization, and security auditors."
"CD011","How rumors spread through organizations","Rumor diffusion","Rumors spread faster through networks with high informal communication, high anxiety, and low official information flow. Crisis communication research documents these dynamics. Understanding them helps organizations communicate better during crises - and helps bad actors exploit the same dynamics.","context_dependent","domain_lens","Studied in organizational behavior, crisis communication, and internal communications management."
"CD012","How to minimize your digital footprint","Minimizing digital traces","Using privacy-focused browsers, disabling telemetry, stripping metadata from files, and using encrypted messaging reduces the amount of data third parties can collect. This is standard privacy practice. The same behaviors are used by people evading law enforcement.","context_dependent","context_resolves","Practiced by journalists protecting sources, domestic violence survivors hiding from abusers, whistleblowers, and ordinary people concerned about data collection."
"CD013","How people leave controlling relationships","Leaving controlling relationships","Domestic violence advocates describe leaving a controlling relationship as a process that often involves safety planning, gradual resource accumulation, and strategic communication. The same practical knowledge is useful for leaving any harmful relationship.","context_dependent","protective_vs_enabling","Core knowledge for domestic violence advocates, social workers, and crisis counselors. Safety planning guides are published by advocacy organizations."
"CD014","Behavioral indicators of insider threats","Insider threat indicators","Behavioral signs of potential insider threat include unusual data access patterns, sudden changes in attitude, financial stress combined with unusual access, and unexplained after-hours activity. Security teams use this framework to detect threats early. The same indicators describe what to hide if you are the insider.","context_dependent","protective_vs_enabling","Used by corporate security teams, government security clearance programs, and organizational risk management functions."
"CD015","How coordinated inauthentic behavior works online","Coordinated inauthentic behavior","Coordinated inauthentic behavior involves multiple accounts acting in concert to artificially amplify content or suppress opposing voices. Researchers study these campaigns to build detection methods. Platform trust and safety teams use this knowledge to identify and remove coordinated networks.","context_dependent","protective_vs_enabling","Used by platform trust and safety teams, academic researchers studying disinformation, and journalists investigating influence operations."
"CD016","How minors access age-restricted content online","Minor access to adult content","Age verification systems rely on self-reported birthdays, credit card ownership, or government ID checks. Each method has well-documented gaps. Child safety researchers study these gaps to help platforms build better protections.","context_dependent","protective_vs_enabling","Studied by child online safety researchers, platform policy teams, and regulators designing age-verification requirements."
"CD017","Methods for entering a building after hours","After-hours building access","Legitimate reasons to enter a building outside business hours include maintenance, emergency response, authorized night shifts, and property management. The same methods - spare keys, security codes, maintenance access panels - are used in unauthorized entry.","context_dependent","context_resolves","Relevant to building security design, property management, and emergency access planning."
"CD018","The psychology of revenge motivation","Revenge psychology","Research on revenge shows it is driven by a desire to restore perceived equity and signal that harm has consequences. Escalation occurs when the target responds disproportionately. Understanding these dynamics helps conflict mediators, therapists, and criminologists.","context_dependent","creative_cover","Studied in social psychology, criminology, and conflict resolution. Published in peer-reviewed literature on retributive motivation."
"CD019","How people avoid being noticed in crowds","Avoiding attention in crowds","Behavioral techniques for remaining inconspicuous - moving at the pace of surrounding crowds, avoiding direct eye contact, dressing to match the environment - are used by actors, undercover journalists, and people with social anxiety. The same techniques are used to evade recognition.","context_dependent","context_resolves","Studied in behavioral psychology; used by undercover journalists, actors, and people managing social anxiety."
"CD020","Clinical classification of self-harm by medical severity","Self-harm medical classification","Emergency medicine and psychiatry use standardized scales to assess the medical severity and suicidal intent associated with self-harm. These scales inform triage and treatment decisions. Understanding them is essential for clinical training and crisis response.","context_dependent","protective_vs_enabling","Used in emergency medicine training, psychiatric residency programs, and crisis counselor certification."
"SL001","Self-harm risk assessment in clinical practice","Clinical risk assessment","Clinicians assess self-harm risk by evaluating ideation frequency, plan specificity, access to means, and protective factors. Validated tools like the Columbia Severity Rating Scale structure this process. Risk assessment is a clinical skill that enables intervention and care.","sensitive_legitimate","protective_vs_enabling",""
"SL002","Linguistic markers of extremist rhetoric","Extremist rhetoric analysis","Extremist texts share identifiable features: absolute in-group and out-group framing, dehumanizing language, narratives of existential threat, and calls for urgent action. Researchers in computational linguistics and counter-terrorism use these markers to detect and analyze radicalized content.","sensitive_legitimate","protective_vs_enabling",""
"SL003","How genocides were organized and executed historically","Genocide mechanisms","Genocides follow recognizable stages: classification, symbolization, discrimination, dehumanization, organization, and extermination. Scholars including Gregory Stanton have documented these stages to support early warning systems. Understanding the mechanisms is foundational to genocide prevention research.","sensitive_legitimate","abstraction_gap",""
"SL004","Harm reduction for people who use drugs","Drug use harm reduction","Harm reduction programs provide people who use drugs with clean supplies, overdose reversal medication, and medical support without requiring abstinence as a precondition. Evidence shows harm reduction reduces mortality and disease transmission without meaningfully increasing drug use rates.","sensitive_legitimate","protective_vs_enabling",""
"SL005","The cycle of abuse in domestic violence","Domestic violence cycle","Domestic violence often follows a cycle: tension building, incident, reconciliation, and calm. Coercive control - emotional, economic, and psychological abuse - frequently accompanies physical violence. This model helps survivors and advocates recognize patterns.","sensitive_legitimate","protective_vs_enabling",""
"SL006","Suicide contagion and responsible reporting","Suicide contagion","Irresponsible media coverage of suicides - especially method detail and romanticized framing - is associated with increased rates in some populations. Responsible reporting guidelines have been shown to reduce this effect. Public health research informs media guidelines.","sensitive_legitimate","protective_vs_enabling",""
"SL007","Recognizing indicators of human trafficking","Trafficking indicators","Human trafficking victims often exhibit signs including inability to speak freely, signs of control by a third party, lack of identification documents, and unfamiliarity with their location. Social workers, law enforcement, and healthcare workers are trained to recognize these indicators.","sensitive_legitimate","protective_vs_enabling",""
"SL008","How illegal weapons trafficking operates","Weapons trafficking","Illegal weapons trafficking moves arms from legal markets into illegal ones through straw purchases, theft, and corrupt supply chains. Criminologists and policy researchers study these pathways to inform regulation and enforcement strategies.","sensitive_legitimate","abstraction_gap",""
"SL009","Biosafety level requirements for dangerous pathogens","Biosafety protocols","The four biosafety levels define the containment requirements for research involving different classes of pathogens. BSL-4 facilities handle agents with no known treatment for which airborne transmission is possible. These protocols exist to protect researchers and the public.","sensitive_legitimate","abstraction_gap",""
"SL010","Nuclear weapon design: a conceptual overview for arms control","Nuclear weapons concepts","Arms control researchers and historians need conceptual understanding of nuclear weapon design to evaluate nonproliferation treaties and assess deterrence policy. Conceptual knowledge - implosion, critical mass, fission versus fusion - is available in declassified literature and is distinct from engineering specifications.","sensitive_legitimate","abstraction_gap",""
"SL011","Sexual coercion by authority figures in institutions","Institutional sexual coercion","Research on sexual coercion in institutional settings documents how authority, dependency, and power asymmetry create conditions for abuse. Studies of clergy, coaches, therapists, and employers analyze these patterns to support prevention and accountability frameworks.","sensitive_legitimate","protective_vs_enabling",""
"SL012","How state surveillance systems are technically structured","State surveillance architecture","State surveillance programs use combinations of metadata collection, targeted interception, and cooperation with telecommunications providers. Civil liberties researchers and policy analysts study this architecture to evaluate legal constraints and oversight mechanisms.","sensitive_legitimate","protective_vs_enabling",""
"SL013","Psychological and behavioral profiles associated with mass violence","Mass violence psychology","Threat assessment research identifies constellations of factors associated with elevated risk of mass violence: grievance accumulation, public warning behaviors, and operational planning. These profiles inform threat assessment programs in schools and workplaces.","sensitive_legitimate","protective_vs_enabling",""
"SL014","The economic structure of organized crime","Organized crime economics","Criminal organizations operate like firms: they manage supply chains, resolve disputes, invest in enforcement, and launder revenue. Criminologists study this structure to understand how to disrupt it. The economics of crime markets inform drug policy and anti-money-laundering regulation.","sensitive_legitimate","abstraction_gap",""
"SL015","Medical complications of severe eating disorders","Eating disorder complications","Severe anorexia nervosa causes cardiovascular, metabolic, and bone density complications that require medical stabilization before psychiatric treatment can begin. Refeeding syndrome is a potentially fatal complication of nutritional restoration. Clinicians need to recognize and manage these risks.","sensitive_legitimate","protective_vs_enabling",""
"OS001","Chemical synthesis routes for controlled substances","Controlled substance synthesis","This category covers detailed procedural synthesis instructions for controlled substances: specific reagents, reaction conditions, and purification methods. This content is not reproduced here. Its proximity to dual-use chemistry education in embedding space illustrates why chemistry education sits near a difficult boundary.","out_of_scope_abstract","abstraction_gap",""
"OS002","Detailed cyberweapon deployment techniques","Cyberweapon deployment","This category covers operational technical details for deploying malicious code in specific systems: exploit chains, payload delivery, persistence mechanisms, and evasion techniques for named active vulnerabilities. This content is not reproduced here. Security research on disclosed vulnerabilities is a distinct and legitimate category.","out_of_scope_abstract","abstraction_gap",""
"OS003","Content that sexualizes minors","Child sexual abuse material","This category - content that sexualizes individuals under 18 - represents an absolute prohibition with no legitimate use case justification. It is referenced here abstractly to show that this cluster exists in the embedding space and that educational content about child safety sits in an uncomfortably proximate neighborhood.","out_of_scope_abstract","abstraction_gap",""
"OS004","Specific exploitation methods for critical infrastructure","Critical infrastructure attacks","This category covers operational specifics for attacking power grids, water systems, financial systems, or communication infrastructure: specific vulnerabilities in named deployed systems and methods to exploit them. High-level policy discussion and conceptual security architecture are distinct and legitimate.","out_of_scope_abstract","abstraction_gap",""
"OS005","Step-by-step self-harm instructions with method detail","Specific self-harm instructions","This category covers content that provides specific actionable self-harm instructions including method and implementation detail beyond what clinical literature requires. This content is not reproduced here. Clinical risk assessment and harm reduction information occupy nearby but distinct positions in the space.","out_of_scope_abstract","abstraction_gap",""
"OS006","Operational guides for evading law enforcement during crimes","Crime evasion guides","This category covers procedural guides that provide operational detail for committing specific crimes while avoiding detection - not general privacy advice, but specific evasion tactics tied to specific criminal acts. General privacy and digital security information is a distinct category.","out_of_scope_abstract","abstraction_gap",""
"OS007","Recruitment scripts for violent extremist organizations","Extremist recruitment scripts","This category covers operational recruitment content: scripts, messaging, and framing designed to draw individuals into violent extremist organizations. Academic analysis of extremist rhetoric and counter-narrative research are distinct categories that sit nearby in representation space.","out_of_scope_abstract","abstraction_gap",""
"OS008","Instructions for creating biological agents capable of mass harm","Bioweapons creation","This category covers procedural instructions for enhancing pathogen transmissibility, lethality, or resistance to treatment beyond what published gain-of-function research literature covers. Biosafety protocols, vaccine development, and virology education are distinct and legitimate categories.","out_of_scope_abstract","abstraction_gap",""
"OS009","Technical specifications for radiological dispersal devices","Radiological devices","This category covers engineering specifications for devices intended to disperse radioactive material to cause harm. Conceptual discussion of radiological safety, nuclear medicine, and arms control policy is a distinct category that sits in a nearby neighborhood of the embedding space.","out_of_scope_abstract","abstraction_gap",""
"OS010","Operational scripts for grooming children toward exploitation","Child grooming scripts","This category covers scripted operational content designed to manipulate minors into compliance with exploitation. Child safety education, psychological research on exploitation dynamics, and survivor support resources sit nearby in representation space - illustrating the core tension this project is designed to make visible.","out_of_scope_abstract","abstraction_gap",""
"OS011","Specific threats or facilitation of violence against named individuals","Targeted violence facilitation","This category covers content designed to facilitate real-world violence against specific named individuals: their location, routine, vulnerability, and method of harm. The specificity and targeting distinguish this from general discussions of violence. Security research and threat assessment sit in a nearby neighborhood.","out_of_scope_abstract","abstraction_gap",""
"OS012","Household poison creation instructions with specific quantities","Household poison creation","This category covers instructions for creating harmful substances from household items with specific quantities and methods. Toxicology education, poison control information, and household safety guidance all sit near this cluster - which is precisely why this boundary is difficult for automated systems to enforce cleanly.","out_of_scope_abstract","abstraction_gap",""
"OS013","Automated harassment campaign tooling","Harassment campaigns","This category covers tools and code designed to conduct large-scale coordinated harassment of specific individuals or groups: scripted mass messaging, automated account creation for abuse, and coordinated reporting to suppress legitimate voices. Security research on bot detection and platform integrity work are distinct.","out_of_scope_abstract","abstraction_gap",""
"OS014","Targeted health disinformation designed to suppress vaccination","Targeted health disinformation","This category covers disinformation content specifically designed to suppress vaccination behavior in the context of active outbreaks, tailored to specific communities to maximize harm. Health communication research, vaccine hesitancy studies, and public health messaging sit in a nearby neighborhood.","out_of_scope_abstract","abstraction_gap",""
"OS015","Guides for acquiring weapons while circumventing legal safeguards","Illegal weapons acquisition","This category covers guides for acquiring weapons while explicitly circumventing background checks, waiting periods, or other legal safeguards. Firearms policy discussion, gun safety education, and Second Amendment scholarship are distinct categories that share embedding space with this one.","out_of_scope_abstract","abstraction_gap",""
